lat,lon,obs_trend,cmip_trend,trend_bias
23,-105,0.0379538949360056,0.02517761427324052,-0.012776280662765063
23,113,0.03598956091133281,0.020589978483755524,-0.015399582427577283
25,-107,0.03974009599909879,0.025205546862574056,-0.014534549136524744
25,-105,0.046297098381383295,0.026931810974220562,-0.019365287407162732
25,99,0.03258262745143309,0.0178634783074687,-0.014719149143964383
25,101,0.0353593482119734,0.017842104013378896,-0.017517244198594514
25,103,0.03350223254163822,0.01706738951625981,-0.01643484302537839
25,105,0.031907138798684495,0.01803583666835276,-0.013871302130331739
25,107,0.025353647211697954,0.019490723910034605,-0.005862923301663344
25,109,0.02987154631758834,0.022047942008264328,-0.00782360430932401
25,111,0.033524657636696174,0.023392393641785875,-0.010132263994910306
25,113,0.031515773462513504,0.023319246421031913,-0.008196527041481593
25,117,0.04334306982497357,0.023250750513027534,-0.020092319311946043
27,-107,0.04500997360173799,0.027885231454849207,-0.017124742146888756
27,-105,0.04875116744121845,0.029891125732742996,-0.018860041708475453
27,83,0.00366379455478486,0.009741178330579737,0.00607738377579488
27,85,0.011435730485731497,0.013316231941980434,0.0018805014562489298
27,87,0.0232604416060452,0.017099656038971112,-0.006160785567074082
27,89,0.017439238029423973,0.019916202848027403,0.0024769648186034328
27,91,0.02104012503757803,0.01918507968598353,-0.0018550453515945023
27,93,0.0230571578305813,0.014981855049485463,-0.008075302781095832
27,95,0.03010219016871115,0.014034467785222136,-0.01606772238348903
27,97,0.02387585600824606,0.016497327985017983,-0.007378528023228074
27,99,0.03416125199875336,0.01971929702531152,-0.014441954973441862
27,101,0.03242473502783583,0.019084097475657428,-0.013340637552178404
27,103,0.03520093034798585,0.018220856283864044,-0.0169800740641218
27,105,0.03248616774002928,0.019837501937919413,-0.012648665802109882
27,107,0.027278657046033914,0.02057288532783547,-0.00670577171819845
27,109,0.03453360136958337,0.023882485413565722,-0.01065111595601765
27,111,0.036788850866062484,0.026403745337489043,-0.010385105528573444
27,113,0.027086155469640376,0.0258352212737117,-0.0012509341959286726
27,115,0.03866254239025151,0.025902883434872653,-0.01275965895537884
27,119,0.04229748813043443,0.025987918192841134,-0.0163095699375933
29,-109,0.036974612872230445,0.03086460429036133,-0.006110008581869108
29,-107,0.04312782621862858,0.030945855180064045,-0.01218197103856454
29,-105,0.04389828496827955,0.03218444957757153,-0.01171383539070802
29,-103,0.03752311863217733,0.033859794404170585,-0.0036633242280067393
29,-9,0.011928584798360703,0.030910483926524176,0.018981899128163473
29,35,0.05318590196492773,0.031880121353926004,-0.02130578061100171
29,53,0.032770125832066455,0.02862283747815862,-0.004147288353907851
29,55,0.0450232601728451,0.028041698036021804,-0.0169815621368233
29,57,0.04212733577315821,0.02777140605825728,-0.014355929714900937
29,59,0.04196320969600893,0.028747950489401944,-0.013215259206606978
29,67,0.016798722477876504,0.028862822640977507,0.012064100163101004
29,69,0.012075584796297417,0.025557805850582187,0.013482221054284768
29,79,0.005618091881959108,0.017441054716980695,0.01182296283502159
29,81,0.01152467146726923,0.020933987601039088,0.009409316133769857
29,83,0.03021690140564434,0.028641357357035758,-0.0015755440486085852
29,85,0.03247420462202528,0.03500284888613885,0.002528644264113592
29,87,0.031950673847435995,0.037521209771821745,0.005570535924385765
29,89,0.034514117462553014,0.03751792208224097,0.0030038046196879608
29,91,0.04699303286627311,0.03376911129858251,-0.01322392156769059
29,93,0.03676808231186354,0.027731279652760416,-0.009036802659103107
29,95,0.030740045590667644,0.023899508906478767,-0.006840536684188875
29,97,0.028988899999327238,0.025465549745906042,-0.0035233502534211866
29,99,0.03621377753702139,0.028831646254587413,-0.0073821312824339635
29,101,0.04359909659672293,0.024550555489724454,-0.019048541106998475
29,103,0.030399252795773296,0.020080770427156107,-0.010318482368617182
29,105,0.028166218693881917,0.020770455646769163,-0.007395763047112763
29,107,0.04203354378052486,0.021274243123828848,-0.02075930065669602
29,109,0.038109825990971125,0.023797952060577197,-0.014311873930393938
29,111,0.03638479390925113,0.02824290636320438,-0.008141887546046759
29,115,0.03731915495634015,0.02686654190071253,-0.010452613055627634
29,117,0.040298126431033046,0.027758706201113308,-0.012539420229919756
29,119,0.042266470574663505,0.028476387321938502,-0.013790083252725007
31,-111,0.036800793384831026,0.032467665512966676,-0.0043331278718643455
31,-109,0.037568102510652054,0.03271761321637127,-0.004850489294280789
31,-107,0.03966206911873313,0.03299848804754966,-0.006663581071183459
31,-105,0.038973419299458446,0.03391091665561917,-0.005062502643839287
31,-89,0.019691778411362066,0.03396914914619337,0.014277370734831289
31,-87,0.022501505372928665,0.03252540556244263,0.010023900189513973
31,-85,0.028155755209635494,0.03217002299300064,0.00401426778336515
31,-7,0.011736620680381511,0.032823885783549674,0.021087265103168176
31,-5,0.016000034120915958,0.03190668591670981,0.015906651795793862
31,49,0.03068889923909666,0.0302742229762837,-0.0004146762628129633
31,51,0.043398004956388174,0.02886258611010122,-0.014535418846286926
31,53,0.042449860849355134,0.029378873638524348,-0.013070987210830798
31,55,0.05589051940280319,0.029470955832448964,-0.026419563570354236
31,57,0.044314054040863915,0.029607086551649224,-0.014706967489214675
31,59,0.040642201283363655,0.02997954857616881,-0.01066265270719484
31,61,0.03180677096321029,0.02934420577102166,-0.0024625651921886273
31,65,0.026446711883623773,0.03007151827198339,0.003624806388359624
31,67,0.024643437168069438,0.030951269924524735,0.006307832756455289
31,69,0.024284901766741782,0.029024424419860986,0.004739522653119193
31,71,0.014464804716667029,0.023041837507751788,0.00857703279108475
31,77,0.025205707164505955,0.02203487433169353,-0.0031708328328124338
