lat,lon,model,snw_trend_pct
25.0,117.0,GFDL-CM4_r1i1p1f1,0.7434194734073485
25.0,117.0,GFDL-ESM4_r1i1p1f1,-0.5133928903959061
25.0,117.0,IPSL-CM6A-LR_r1i1p1f1,-0.010045736014352147
25.0,117.0,MIROC6_r1i1p1f1,0.0
25.0,117.0,MRI-ESM2-0_r1i1p1f1,0.0
27.0,-107.0,ACCESS-CM2_r1i1p1f1,0.0
27.0,-107.0,ACCESS-ESM1-5_r1i1p1f1,0.0
27.0,-107.0,BCC-CSM2-MR_r1i1p1f1,0.0
27.0,-107.0,CNRM-CM6-1_r1i1p1f2,-1.1757147300060762
27.0,-107.0,CanESM5_r1i1p1f1,0.0
27.0,-107.0,GFDL-CM4_r1i1p1f1,-0.3721221145306068
27.0,-107.0,GFDL-ESM4_r1i1p1f1,-15.754605626461256
27.0,-107.0,IPSL-CM6A-LR_r1i1p1f1,-0.030378648680546953
27.0,-107.0,MRI-ESM2-0_r1i1p1f1,0.0
27.0,-105.0,ACCESS-CM2_r1i1p1f1,0.0
27.0,-105.0,ACCESS-ESM1-5_r1i1p1f1,0.0
27.0,-105.0,BCC-CSM2-MR_r1i1p1f1,-6.07547626010349e-26
27.0,-105.0,CNRM-CM6-1_r1i1p1f2,-0.05866718929461467
27.0,-105.0,CanESM5_r1i1p1f1,0.0
27.0,-105.0,GFDL-CM4_r1i1p1f1,0.23429526526221908
27.0,-105.0,GFDL-ESM4_r1i1p1f1,0.4954318626893211
27.0,-105.0,IPSL-CM6A-LR_r1i1p1f1,3.517059050758247e-17
27.0,-105.0,MIROC6_r1i1p1f1,0.0
27.0,-105.0,MRI-ESM2-0_r1i1p1f1,0.0
27.0,83.0,ACCESS-CM2_r1i1p1f1,0.0
27.0,83.0,CanESM5_r1i1p1f1,-0.598403064488057
27.0,83.0,GFDL-CM4_r1i1p1f1,-0.0009612751078658052
27.0,83.0,GFDL-ESM4_r1i1p1f1,0.37157490261842957
27.0,83.0,IPSL-CM6A-LR_r1i1p1f1,-0.10307821782723574
27.0,85.0,ACCESS-CM2_r1i1p1f1,-0.4074721371762737
27.0,85.0,ACCESS-ESM1-5_r1i1p1f1,0.0
27.0,85.0,CanESM5_r1i1p1f1,0.3537453515046229
27.0,85.0,GFDL-CM4_r1i1p1f1,-0.3463209302365168
27.0,85.0,GFDL-ESM4_r1i1p1f1,-0.03428849418996751
27.0,85.0,IPSL-CM6A-LR_r1i1p1f1,-0.1030782178272358
27.0,87.0,ACCESS-CM2_r1i1p1f1,-1.0380999553213475
27.0,87.0,ACCESS-ESM1-5_r1i1p1f1,-0.004553699575559531
27.0,87.0,BCC-CSM2-MR_r1i1p1f1,-7.579004745307123e-07
27.0,87.0,CanESM5_r1i1p1f1,0.47628901869518375
27.0,87.0,GFDL-CM4_r1i1p1f1,-0.6209056310689494
27.0,87.0,GFDL-ESM4_r1i1p1f1,0.010081842842411282
27.0,87.0,IPSL-CM6A-LR_r1i1p1f1,-0.07078428900545408
27.0,87.0,MRI-ESM2-0_r1i1p1f1,-0.43088349790794706
27.0,89.0,ACCESS-CM2_r1i1p1f1,-1.2626913858079443
27.0,89.0,ACCESS-ESM1-5_r1i1p1f1,-0.5267741392444382
27.0,89.0,BCC-CSM2-MR_r1i1p1f1,-4.2826633628353206e-14
