product,lat,lon,swe_trend_pct
ERA5-Land,25.0,99.0,-0.057935302478102774
ERA5-Land,25.0,103.0,-0.09599435212273395
ERA5-Land,25.0,105.0,-0.8112154450035642
ERA5-Land,27.0,83.0,-0.09749957134353043
ERA5-Land,27.0,85.0,-1.0048137805895647
ERA5-Land,27.0,87.0,-0.12605913637535687
ERA5-Land,27.0,89.0,-0.10482234745997272
ERA5-Land,27.0,91.0,-0.5587671632521766
ERA5-Land,27.0,93.0,-0.2666590766255892
ERA5-Land,27.0,95.0,-1.33514186325198
ERA5-Land,27.0,97.0,-2.163962261333893
ERA5-Land,27.0,99.0,-2.463784205662383
ERA5-Land,27.0,101.0,-1.3116235523733164
ERA5-Land,27.0,103.0,-1.234484382463456
ERA5-Land,27.0,105.0,-3.9286214644540065
ERA5-Land,27.0,107.0,-0.125865555184429
ERA5-Land,27.0,109.0,-0.621367610243038
ERA5-Land,27.0,111.0,-0.06088448736392717
ERA5-Land,27.0,113.0,-3.8534937324179774e-05
ERA5-Land,29.0,-109.0,-0.7586498257626442
ERA5-Land,29.0,-107.0,-0.10484334822718783
ERA5-Land,29.0,53.0,-1.1012848644260644
ERA5-Land,29.0,55.0,-1.3620644442744825
ERA5-Land,29.0,57.0,-0.4929317646973576
ERA5-Land,29.0,79.0,-0.13739852837761637
ERA5-Land,29.0,81.0,-0.3795176704460232
ERA5-Land,29.0,83.0,0.06069519149823654
ERA5-Land,29.0,85.0,0.12125753011950303
ERA5-Land,29.0,87.0,0.013468509368290195
ERA5-Land,29.0,89.0,-0.03669244663397678
ERA5-Land,29.0,91.0,-0.04436522962677181
ERA5-Land,29.0,93.0,-0.474084799825414
ERA5-Land,29.0,95.0,-0.9774346813263184
ERA5-Land,29.0,97.0,-0.6173526960531875
ERA5-Land,29.0,99.0,-1.4989473669312212
ERA5-Land,29.0,101.0,-1.6049814765819705
ERA5-Land,29.0,103.0,-2.0549674382243674
ERA5-Land,29.0,105.0,-0.5605898049420349
ERA5-Land,29.0,107.0,-0.7356921040691772
ERA5-Land,29.0,109.0,-1.4021995733572696
ERA5-Land,29.0,111.0,-0.9273163190748894
ERA5-Land,29.0,117.0,-0.00012921593397089603
ERA5-Land,29.0,119.0,-0.5822180324783993
ERA5-Land,31.0,-111.0,-0.001932811786436345
ERA5-Land,31.0,-109.0,-0.759965964505482
ERA5-Land,31.0,-105.0,-0.0013368189989750618
ERA5-Land,31.0,-7.0,0.08329188965457773
ERA5-Land,31.0,-5.0,0.4494408253596247
ERA5-Land,31.0,53.0,-1.4024487244318904
ERA5-Land,31.0,55.0,-2.8768942178547876
ERA5-Land,31.0,57.0,-1.0889510817250092
ERA5-Land,31.0,65.0,-0.010420745510829084
ERA5-Land,31.0,67.0,-0.006013365736116569
ERA5-Land,31.0,69.0,-0.0001604944389338513
ERA5-Land,31.0,77.0,-0.02481204545981243
ERA5-Land,31.0,79.0,0.029028509535178743
ERA5-Land,31.0,81.0,0.14641368370132363
ERA5-Land,31.0,83.0,0.29714109772050334
ERA5-Land,31.0,85.0,1.6310682503389986
ERA5-Land,31.0,87.0,0.007008178739400137
ERA5-Land,31.0,89.0,0.39215113353317166
ERA5-Land,31.0,91.0,-0.733917342349232
ERA5-Land,31.0,93.0,-0.17477728460647687
ERA5-Land,31.0,95.0,-0.16027272720382693
