,MRBID,RIVER_BASI,delta_swe_fut,delta_q_fut,pop,eoc_t
0,2427,TENRYU,-64.15644542728776,68.750771809269,932209.94,2.500214353189445
1,6113,VARZUGA,-43.35231435664989,-1.0854772517430185,2635.592,4.798805450249872
2,6234,NESTOS (also MESTA),-63.7376433474129,11.031560946220448,214884.92,2.3720192992704736
3,2423,MOGAMI,-59.22889949077384,-2.7862646270895914,551116.7,2.5622825180386357
4,4426,SKAGIT,-51.690278225209504,-5.550154027434976,98947.29,2.79731886322284
5,2415,KITAKAMI,-52.930487658680974,13.118263959231465,1014188.8,2.570109763914893
6,6103,KOVDA,-34.739176507429335,51.16417988014478,25602.432,4.523636592252347
7,2404,CHIKUMA,-55.836700750660206,-7.2052385006332935,1750306.0,2.5453522311478527
8,4218,MERRIMACK,-4.97776364064015,31.291962615695372,1367122.1,3.3868490694674933
9,4420,ROGUE,-75.25754808178549,-0.9050564195481136,274977.75,2.3548503053248955
10,6108,PONOY,-42.29497991557349,25.46049449724639,3090.9563,4.869155078756265
11,4119,HORNADAY,48.908572682996855,19.75617386215917,94.18766,6.940649435938215
12,2429,TONE,-54.511879477914064,7.728443899154568,6191805.5,2.5407147059935866
13,4222,NATASHQUAN,-28.979061016943923,19.91059058482117,0.0,4.140493974658966
14,6218,IIJOKI,-41.793028968358634,4.504596885637472,37545.48,4.245408801303018
15,6111,TANA,-17.297944661977102,-30.907728721559554,8711.715,4.185962867626082
16,6251,STRUMA RIVER,-56.13234407214977,-8.461735423265681,901277.9,
17,6219,KALIXALVEN,-28.541794276416212,-10.707910451248337,25596.121,3.9749495537152733
18,6209,DRAMSELVA,-39.24800652040288,22.76427881922896,188425.19,2.7187436915132084
19,4431,TAKU,-24.860186798956413,29.4334251616848,19.74963,3.3611567799726285
20,4113,ELLICE,23.35180317114053,57.884167884706365,0.0,6.732733281685381
21,4129,RUPERT,-12.34610430062733,-28.020383440562178,829.77515,4.808661968262572
22,4216,LITTLE MECATINA,-34.13541201205304,8.93811487960745,0.05436667,4.1464330683302
23,4416,NASS,-31.898692427868532,4.620898662316085,1432.1165,3.105195345675892
24,4229,PENOBSCOT,-34.066799996687934,33.09286281328184,129320.555,3.6716766096269327
25,2919,YSYK-KOL (also ISSYK-KUL),-4.167411063644163,-2.9882621347280516,377037.94,3.0502874658279198
26,4114,FERGUSON,9.5760108773945,47.905032752166264,0.0,6.5019192856781665
27,4117,HAYES,14.418222050279448,19.622691286009754,0.0,7.086310124473295
28,4120,HORTON,54.88388935369796,14.7236164685805,0.0,6.897000862030778
29,6258,VARDAR,-68.59126434100317,-3.8076663598557667,2507208.2,2.3133741906714684
30,6227,LULEALVEN,-21.341752793288954,0.8434325462462399,17249.193,3.7093991454441517
31,6239,OULUJOKI,-45.83149860061668,18.71189536893099,222875.98,4.211745311881525
32,6112,TULOMA,-29.72707230295097,6.470606359934968,287236.06,4.4464674665408435
33,4401,ALSEK,-21.489335177112693,27.95223124131379,876.6162,3.5832611837504857
34,4211,DELAWARE,-5.203499138673278,18.47840678232879,7657656.5,3.2580162254461222
35,4210,CONNECTICUT,-15.411636167804186,-3.6342118550722113,2099026.2,3.437564818278063
36,6222,KOKEMAENJOKI,-65.90769464494306,11.168150027671686,787760.7,3.704168932420687
37,4128,QUOICH,21.25778448148072,34.42360350383593,0.0,6.840032988536698
38,6114,VYG,-45.07176141909705,5.686963895713457,62383.203,4.340764379782902
39,2111,PALYAVAAM,69.55982136059872,39.921906491844595,2298.7236,6.797832895349884
40,6201,ANGERMANALVEN,-33.51720146257281,-8.233352437704896,37976.465,3.3451914216578365
41,4107,"BALEINE, RIVIERE DE LA",1.5638129891583412,9.830689333364175,0.0,5.42025974547701
42,4121,KOBUK,14.474882786174744,28.29182712815899,1414.6423,6.047941023292157
43,4126,NOATAK,34.01442186986332,-0.9901635687907312,837.91724,6.664559991630111
44,2430,TUMEN,-11.269746365506078,-14.742076279031869,2220171.5,3.278252552263683
45,4214,HUDSON,-11.121090903324532,54.53955835242401,4030889.2,3.4300716236044617
46,6224,KYMIJOKI,-64.81269021751933,7.843572299803202,523267.34,3.9305941723772135
47,4418,NUSHAGAK,-26.145461424433805,-20.358124025102263,1848.0083,4.909082348537164
48,2903,ATREK,-43.633170306461366,-8.979736858958566,1012842.25,
49,2110,OMOLOY,64.8101352192854,95.32711810457657,2113.0657,5.514220352586186
50,4116,GEORGE,-5.1800506231166485,1.0876723352329598,14.361432999999998,5.363037745395863
51,4413,KLAMATH,-74.75345853330012,-1.6874682541476151,159437.64,2.4306306185554023
52,4103,ARNAUD,13.424328690518776,8.597538477770108,0.0,6.825564405730888
53,6213,GLOMAA,-33.18261475690169,-11.296735216986539,699571.25,2.7665304483469755
54,4106,"BALEINE, GRANDE RIVIERE DE LA",2.9962409486861032,18.747481911146753,1332.2004,5.538530686329485
55,4115,FEUILLES,11.356343816895384,0.34107232833448275,0.0,6.357060666245168
56,6102,KEM,-40.275351026886284,3.359239667890132,54132.664000000004,4.393951319238998
57,4217,MANICOUAGAN,-21.884992128386678,15.34881096484835,21.402506,4.352643946370627
58,2418,LUAN HE,-4.1244635041059015,-5.122559853784634,4869028.0,3.042712843518033
59,4112,EASTMAIN,-8.84921888294011,-8.909631860637363,0.3538018,4.91592775838546
60,2112,POPIGAY,62.203439482478245,21.480486787102837,1959.0476,6.300259723716793
61,4104,ATTAWAPISKAT,9.25636671246304,3.91280023571387,495.00925,4.704070781643041
62,4130,SEAL,11.862458365583295,106.88357228911605,345.05325,5.325693739851771
63,4430,SUSITNA,-25.790574146744966,14.316982468730538,0.0,4.26714828954781
64,4428,STIKINE,-31.62214049064672,-0.7061862670040228,942.4433,3.230141832791236
65,6214,GOTA,-32.884195570430286,0.5361942597673587,981132.25,2.920635693359787
66,6255,"TORNEALVEN (also TORNIONJOKI, also TORNIONVAYLA)",-28.925009369434463,-20.648823675760863,49666.37,3.993888245675564
67,4427,SKEENA,-29.07499285304327,-3.1206538389000484,39169.535,3.0890647570537215
68,2911,LAKE URMIA,-67.32456856234515,-5.868296770741455,5937330.5,3.013393926453253
69,4111,COPPERMINE,13.971670596700875,-2.1338184664524498,62.018192000000006,6.354260092986822
70,6223,KUBAN,-49.559828628500604,-8.35827081876574,3628269.2,2.451255879188144
71,6229,MARITSA RIVER,-53.50069960703965,-13.803905061810653,3298065.2,2.3961850420419686
72,2413,KAMCHATKA,-22.63626406110947,-6.7474300612971225,14318.913999999999,3.832067126028567
73,6220,KEMIJOKI,-30.81012045210767,2.944827512929904,103713.484,4.296261826373881
74,2107,NADYM,6.847425370535773,52.636277921810034,49034.395,5.081483981961012
75,4236,SAINT JOHN (also SAINT-JEAN),-36.858131405929825,3.288946286987483,361291.16,3.799342719877999
76,6212,GARONNE (also RIO GARONA),-59.43606869321854,-23.80547448607543,4698438.5,1.9706852594327104
77,6232,NARVA,-53.05043481678602,18.807321395054124,821359.3,3.5869710843459064
78,4110,COLVILLE,41.21961187379765,-8.330047120146531,653.5993,6.543391540675688
79,2432,YALU RIVER,-24.00373164577066,-8.797005305304882,5527941.5,3.2475485890526765
80,6244,SAKARYA,-48.896334904729365,-6.669642678947043,7387029.5,
81,2901,ALAKOL,-30.23474910860477,4.550247439724464,668004.75,3.374832726843973
82,6106,ONEGA,-37.292087477770885,-10.819381743873308,167486.67,4.1728829391157465
83,2101,ALAZEYA,67.30980441789733,75.46990864987144,3677.397,6.9354432008959215
84,4134,WINISK,12.408479786629336,23.041110121804,214.76596,5.0104503895245935
85,4408,COPPER,-15.893377303233498,-3.838882212980094,47.74707,3.644095216890828
86,4127,NOTTAWAY,-22.208197258031493,-4.378728245555578,29197.938,4.392559408047998
87,2913,TALAS,-49.91465843713251,-27.67860765742144,798479.7,3.0297502145032627
88,4133,THLEWIAZA,10.32427194900327,17.858245201240535,0.0,5.78611160521818
89,4102,ANDERSON,47.449194562482006,24.891166397071697,134.89297,6.667253572539541
90,4245,SUSQUEHANNA,2.3320849780597226,20.25103807281276,4068472.0,3.3246082272327024
91,6205,DNIESTR,-54.959706178509606,1.916316933888061,6811523.5,2.7878344740081307
92,6241,PO,-63.31617471842385,-40.496605359666184,18381510.0,2.2710333137467376
93,2918,UVS NUUR (also UBSU-NUR),21.501182535557646,6.614379041573972,80665.16,2.9145826426364354
94,2920,ZHEM (also EMBA),-33.9067116355427,-13.60650981315537,130685.87,3.884385813221096
95,6105,MEZEN,-9.35842879109218,-16.42919794577836,29501.115,4.543353532717044
96,4421,SACRAMENTO,-64.69805486028547,-25.23138362366269,1918919.1,2.496404703106501
97,6221,KIZILIRMAK,-58.96425604842624,-22.512889871635213,5447094.5,2.580453582832541
98,4423,SAN JOAQUIN,-75.2265594972736,-40.87272432365637,6791827.0,2.45441906336591
99,6210,EBRO,-51.6071262189602,-7.1666147974924765,4017688.2,1.96862364641484
100,4234,SAGUENAY,-24.525233101275592,2.8142680759710674,278185.38,4.2483935338840535
101,2102,ANABAR,55.76998823719615,43.63083457396854,2253.9565,6.227428739906213
102,4105,BACK,25.011248212977254,-52.118042041809616,0.0,6.601129021793172
103,4207,CHURCHILL,-19.268941197823466,-7.607821101155652,8242.51,4.5567967326245835
104,4122,LA GRANDE,2.236226089827421,-15.771760256735822,3435.2356,5.180020485221674
105,6243,RHONE,-59.059263332296936,-15.315380436348429,11778832.0,2.2245938899735735
106,4131,SEVERN,3.1513237085672645,23.339980182773903,3881.3413,4.770623614178344
107,4118,HAYES,1.0657216161348702,17.879078625568525,14568.273000000001,4.917807117560241
108,4124,MOOSE,-26.187417801096625,23.040496978311268,96811.27,4.3678851811845885
109,2113,PUR,17.11313287080305,35.30139158063583,85439.83,5.161583801191918
110,6236,ODER,-47.166566630040776,49.84020506648146,14409826.0,2.5468324322153006
111,4414,KUSKOKWIM,-17.919592716742763,-23.77788019210567,11729.157,5.016641741696473
112,2916,ULUNGUR HU,-18.847302201180913,-16.646271836388465,262262.34,3.1247124412866043
113,2912,SARYSU,-18.303933908795614,-4.013653691363087,131860.19,3.777901336999805
114,4101,ALBANY,-7.831690724212093,2.3857171080332207,7811.4004,4.418916310237265
115,4108,CANIAPISCAU,3.4380198187456537,-3.3740582937368178,1547.1235,5.363261666821549
116,4901,GREAT SALT LAKE,-67.17772902145715,5.52210182489938,3083638.8,3.220316992844374
117,2115,TAZ,20.16055813425286,15.028247419747212,105910.25,5.108864137268512
118,2905,CHUY (also SHU),-30.43287380069621,-26.41748861867279,2131849.2,3.120138984674292
119,6242,RHINE,-53.56421855198003,-33.01414253124895,51269828.0,2.3239219702248732
120,2114,PYASINA,50.125244254385436,-3.2537244489423864,115507.73,6.203986313019887
121,2402,ANADYR,57.245568512326145,15.511708318742132,5524.3403,6.027482654351231
122,6902,KURA,-59.23007237213387,-25.828660205862374,13153692.0,2.7138776955170507
123,6259,VISTULA,-15.279846477305679,-1.7896155460391951,24801604.0,2.654446391138916
124,2917,URAL (also ORAL),-20.107932641275813,-33.95692136685213,3407071.2,3.845466525619429
125,2436,YONGDING HE,-30.147064202161108,-17.72779417200852,111495760.0,3.0069741147042
126,2109,OLENEK,47.65310278294647,-4.0981872181025265,5500.3936,5.9475791879967375
127,2417,LIAO HE,-5.7134261320208735,-17.05754478234424,35448132.0,3.1311015942810374
128,2909,HAR US NUUR,8.453434716747196,-9.254910283358788,208086.61,2.9640633993430803
129,4410,FRASER,-33.149690749631034,-20.271445516701558,1638062.5,2.86692313052496
130,2116,YANA,47.179588333089285,21.12880949144976,20750.932,4.947702209920191
131,4132,THELON,13.001065095571716,-5.484032008964789,2183.6394,6.122931781354978
132,2915,THORGAY,-18.805683144247254,-1.591239968833616,199051.25,3.9570220197300254
133,2319,SALWEEN,-29.722885213097218,-1.623634226386495,9433118.0,3.1279964562768905
134,6235,NEVA,-54.61697523632206,-14.41819559052142,7755602.0,3.965857397846902
135,2104,KHATANGA,45.220190012924654,5.540113617387692,9416.741,5.630818998302861
136,4109,CHURCHILL,2.4091694907609504,8.684287542212633,103643.27,4.5099763473835175
137,6107,PECHORA,3.5945849793718296,-53.87974981700881,378121.2,4.912697010452991
138,6109,SEVERNAYA DVINA,-16.892890409996294,-42.528169195325276,1574916.5,4.1339683761259245
139,2103,INDIGIRKA,46.312647199554135,6.660414360990972,23427.455,5.16868422530467
140,2906,HAMUN,-59.893349922540544,-32.92634740139344,8261320.5,3.645625036123143
141,2910,LAKE BALKHASH,-32.21069152306642,-32.49740312492545,6520434.0,3.3838299167244186
142,2310,IRRAWADDY,-24.24779177275788,2.8517672509374705,38643276.0,2.6251033875438097
143,6206,DON,-35.90508393926614,9.86399342151393,15882139.0,3.6683385499177636
144,6204,DNIEPER,-45.400394486985796,-24.53189624771908,27612082.0,3.5002700900400523
145,2302,BRAHMAPUTRA,-28.972419730234122,3.0586190615644626,81472120.0,3.0276552036402715
146,2105,KOLYMA,39.581146208476426,3.601954492360952,50141.523,5.432217869521486
147,4405,COLORADO (also COLORADO RIVER),-52.49324221808432,-42.24521590657878,14350285.0,3.093700250700162
148,4406,COLUMBIA,-48.76909277874276,-32.6981654335239,8863864.0,2.865018065378649
149,4231,RIO GRANDE (also BRAVO),-51.60701655672314,-12.000701251387033,20195346.0,2.904806321673325
150,2421,MEKONG,-11.881002405110806,-2.5811887465044787,62203204.0,3.195651660287256
151,6202,DANUBE,-60.10568112065005,-41.035899752326884,92393040.0,2.504613626536534
152,4435,YUKON,-5.8296403824956755,0.7810769779534615,171578.25,4.959763668747698
153,2309,INDUS,-39.211445160850886,-29.51958616839839,230020130.0,3.1423661749109284
154,2320,SHATT AL ARAB,-64.61472822033953,-2.56071951972166,73169096.0,2.8598009971998066
155,2434,YELLOW RIVER,20.330406957156804,0.03152819592250063,136349060.0,3.0125531261496494
156,2306,GANGES,-48.83888408011006,-15.387188694245927,644204000.0,2.9539037743636096
157,4238,SAINT LAWRENCE (also SAINT-LAURENT),-37.679352892791094,-12.245267929176427,47642388.0,3.8921854331998023
158,4125,NELSON,-3.211441053599959,-13.1553076950315,7102793.5,4.036605365627404
159,6903,VOLGA,-28.34304608909773,-39.4617327477467,59600960.0,3.84302520060224
160,2914,TARIM HE (also TALIMU HE),-27.31669233473702,-16.356412941464146,15188922.0,3.061239046068448
161,2902,ARAL SEA,-47.734723922722594,-58.469197793330466,66034044.0,3.1106163499683315
162,2433,YANGTZE,-16.793109831175233,11.560149002198605,380903500.0,2.9853582846780036
163,4123,MACKENZIE,-0.5009209531402921,5.44421653687188,511099.75,4.657657343058224
164,2401,AMUR,11.354986044061127,0.22487674296447888,69081780.0,3.5446997778142797
165,2106,LENA,26.17172472865323,3.6275790286719594,1109155.6,4.559011080047153
166,2117,YENISEY,19.1309467199719,1.3854853866703156,8240114.0,3.987108105925615
167,2108,OB,4.332396770961105,-21.390230513621336,26874762.0,4.0016636871733615
168,4219,MISSISSIPPI,-37.57150177137991,-30.214424677824336,84074710.0,3.324476606583888
