,MRBID,r2,rmse
321,6232,0.7678739132826927,27.212078360383625
325,4110,0.8885935675993654,8.66372564878419
329,2432,0.8945006757299803,7.527553828004752
330,6244,0.8916120972479988,7.733062880174983
331,2901,0.7827439731796434,40.36843700536919
335,6106,0.6575955943116678,18.926745032310315
337,2101,0.6956649185576453,44.17588104787162
340,4134,0.8453991670450308,10.75820120910247
341,4408,0.8502040825034906,12.428211480797689
342,4127,0.8767399497672593,7.058651855850447
343,2913,0.806179209083303,11.695246482677959
344,4133,0.6813320467770392,39.702932799514045
346,4102,0.28083880397980165,45.35982956245566
349,4245,0.8105650055989864,13.863828921631791
354,6205,0.9135551354176599,8.794906031258414
356,6241,0.7933614667470112,12.346259579994602
358,2918,0.844642427067622,15.822724721681487
360,2920,0.9191093521275172,9.014704661768622
363,6105,0.5847233324317223,17.21869469382159
364,4421,0.9441478328544304,5.886979820560279
372,6221,0.9241187210447538,11.737327889654507
376,4423,0.9196046647525752,7.0627566942747295
378,6210,0.8261493563648981,12.562469842556029
382,4234,0.8821758616317898,8.25630650526661
385,2102,0.9218219066556054,12.142731443576997
386,4105,0.9137617107498046,31.66707465403056
388,4207,0.853579822744058,11.82171094960865
393,4122,0.9401395729163695,15.232895800724013
394,6243,0.8582715084178001,10.142418266860817
398,4131,0.7822539507118054,20.583869093915414
400,4118,0.47093971722945205,45.54233869397336
401,4124,0.7850126491008528,26.642705714763952
406,2113,0.6192077056289795,23.207800078025006
412,6236,0.7867468709377013,51.4063745894375
416,4414,0.7453340751240138,16.882977734215782
420,2916,0.8926105596249512,7.482873876204321
423,2912,0.8840181371396335,13.647658567999256
424,4101,0.8571209634489096,11.755114097761902
426,4108,0.9366588838871736,6.8405437847771235
428,4901,0.8586327082645064,29.449669716024307
436,2115,0.8003095405795833,9.565788526453483
437,2905,0.9513052269177843,11.815794199272728
439,6242,0.8644508600410843,12.329953123816907
441,2114,0.9247933540159954,20.040683746940992
443,2402,0.7845996405821665,10.003463387316646
445,6902,0.8497267302491845,13.153776291945379
446,6259,0.9138783065716294,7.578985533095426
448,2917,0.9235233150731467,8.041434503685307
450,2436,0.7844629900680175,13.08832818184447
451,2109,0.9457688453017212,20.95340234296985
452,2417,0.9223320808751346,7.174001203906651
453,2909,0.8512674106214217,11.28360100361219
454,4410,0.910990265417525,15.965922244200188
455,2116,0.8895312763711221,9.102154436732471
456,4132,0.922469761567905,7.209601846166892
457,2915,0.8850370627576077,18.44782398379415
461,2319,0.8497599260776632,9.800008265697372
462,6235,0.46027978100905187,19.79991928611207
463,2104,0.904928947716282,7.3951436504361165
464,4109,0.1363567461916253,37.52469891316367
466,6107,0.8077418577052992,48.39906243844708
467,6109,0.7521773499084049,21.756620512406826
469,2103,0.9532435355112331,9.372599227761116
470,2906,0.8747405350278596,9.002607915121125
475,2910,0.9558813644870802,17.3048556093949
476,2310,0.8862447399966689,7.753032766788108
478,6206,0.7310724281828969,31.16360868932682
480,6204,0.9568454048709523,16.038119442429178
481,2302,0.9069568754254538,8.500015312547413
483,2105,0.8318991703321744,15.024456545232722
484,4405,0.9248390654105508,7.111227800470517
485,4406,0.9188503351724475,11.922806891093796
486,4231,0.8530749074613284,9.762624870766565
489,2421,0.9487876763182859,6.213566587728419
490,6202,0.9345363383439522,20.98511391033024
492,4435,0.741097013711957,26.46911199869874
493,2309,0.9208466207299977,9.075000666470721
494,2320,0.8942149077935764,9.256073260411151
496,2434,0.8620922212770125,14.0595910324096
498,2306,0.7791126478266048,11.178306236235263
499,4238,0.8609446040144504,20.08997946322423
501,4125,0.7874363081883156,14.679667114630076
504,6903,0.8807342977654408,26.993438365557346
505,2914,0.8812995664622986,8.230857479467202
506,2902,0.8459423950061142,16.727057417980888
507,2433,0.6639549312659035,19.502169300572444
508,4123,0.39362809854026914,21.31456363131876
510,2401,0.8449769995628071,10.104480864824975
511,2106,0.8195112469328281,15.358986926042105
513,2117,0.38884902138727495,27.005898429751486
515,2108,0.806796760155834,17.528812321350465
516,4219,0.9048672964299966,12.258177817609933
