t_product,MRBID,tmean_trend
BEST,2101.0,0.8595727953722759
BEST,2102.0,0.7203943114867071
BEST,2103.0,0.6829525195508951
BEST,2104.0,0.5686966482857224
BEST,2105.0,0.7643837721603033
BEST,2106.0,0.536321915385559
BEST,2107.0,0.43404423155555727
BEST,2108.0,0.1545691783343151
BEST,2109.0,0.6354913628996796
BEST,2110.0,0.6370045717929411
BEST,2111.0,0.9095481824201691
BEST,2112.0,0.7275888159346372
BEST,2113.0,0.3961483413283179
BEST,2114.0,0.6909438993732653
BEST,2115.0,0.40793676055599304
BEST,2116.0,0.6050565213327269
BEST,2117.0,0.299170057901116
BEST,2302.0,0.33166433367227605
BEST,2306.0,0.2345053984574489
BEST,2309.0,0.28926503490495115
BEST,2310.0,0.33281426583151663
BEST,2319.0,0.3903233842810477
BEST,2320.0,0.42244177466617583
BEST,2401.0,0.21901974457564602
BEST,2402.0,0.7773097406961402
BEST,2404.0,0.30993450325950717
BEST,2413.0,0.6032847799825074
BEST,2415.0,0.27931247486008537
BEST,2417.0,0.2705377370298396
BEST,2418.0,0.3756629316979132
BEST,2421.0,0.38864033658533015
BEST,2423.0,0.2837103689698012
BEST,2427.0,0.3051175019536486
BEST,2429.0,0.3084853681317753
BEST,2430.0,0.24536745467222537
BEST,2432.0,0.2685991793912019
BEST,2433.0,0.41897282344893527
BEST,2434.0,0.4309567992057557
BEST,2436.0,0.43516813575599733
BEST,2901.0,0.10814354212160933
BEST,2902.0,0.3614298233374209
BEST,2903.0,0.3962416986187875
BEST,2905.0,0.24007755418677293
BEST,2906.0,0.2450865231886789
BEST,2909.0,0.33047990013580053
BEST,2910.0,0.17157740230323382
BEST,2911.0,0.4540905338855338
BEST,2912.0,0.24281964091728656
BEST,2913.0,0.3437695732078808
BEST,2914.0,0.36687266131524776
BEST,2915.0,0.2993438748238694
BEST,2916.0,0.2038337415074979
BEST,2917.0,0.35644143526562433
BEST,2918.0,0.4216843957763331
BEST,2919.0,0.40958698282368133
BEST,2920.0,0.3685421610995077
BEST,4101.0,0.22736096485440288
BEST,4102.0,0.898680191398741
BEST,4103.0,0.6716362151134028
BEST,4104.0,0.2315595439502907
BEST,4105.0,0.5587664792728065
BEST,4106.0,0.45893015537924997
BEST,4107.0,0.5898177592611313
BEST,4108.0,0.507479297102491
BEST,4109.0,0.20227495343031637
BEST,4110.0,0.7474990488486427
BEST,4111.0,0.7865056071453014
BEST,4112.0,0.4639469909774588
BEST,4113.0,0.615188594986643
BEST,4114.0,0.5014819485015081
BEST,4115.0,0.5823106164728052
BEST,4116.0,0.5981025732636452
BEST,4117.0,0.6755487046675555
BEST,4118.0,0.1967825383300398
BEST,4119.0,0.920071790500862
BEST,4120.0,0.9364581523258866
BEST,4121.0,0.490324055434149
BEST,4122.0,0.4904011694622278
BEST,4123.0,0.3532838777832932
BEST,4124.0,0.2866964495413055
BEST,4125.0,0.06078045241931719
BEST,4126.0,0.5576044192934445
BEST,4127.0,0.37136479284596036
BEST,4128.0,0.6507304055655905
BEST,4129.0,0.4466540585356382
