station_id,lat,lon,r2,rmse
10002,60.61666999999999,15.61667,0.6788271728837925,16.778099908106963
10004,58.4,15.53306,0.5324700141094401,15.069483857466093
10005,58.4,15.53306,0.5395445914114374,14.81652221941103
10009,59.35,18.05,0.4974916957522495,22.259457227393483
10010,47.80167,11.01167,0.5602777729446689,16.133525133588176
10025,58.21528000000001,7.890556,0.5016191432565393,21.051993557244185
10026,60.38833,11.56028,0.839736575006223,12.491160817591442
10032,69.46667,25.50306,0.8691841681198668,11.433657065601398
10034,59.942780000000006,10.72056,0.573841444303981,20.317526118001403
10035,60.56833,9.121667,0.6015594203262136,41.437801054293885
10036,60.64583,6.223333,0.6661825230729712,13.990040130004731
10039,53.10695,23.16194,0.8525109707859078,6.933901119307224
10043,57.84583000000001,27.019170000000006,0.6302564171753762,28.571512442266034
10046,69.65389,18.92806,0.30051123078909536,19.669536784165864
10047,62.11666999999999,9.283056,0.4144601923166279,20.06019974895482
10049,49.06667,20.23306,0.3828489659498705,24.525142986747472
10051,65.82694000000001,24.14389,0.3354934412172472,40.89101420387685
10057,59.86,17.63,0.7807188798723222,13.042972009033116
10059,62.63306,17.93306,0.6485917982078869,18.305253846482152
10060,50.42917,12.95528,0.5971152095745049,26.97078571534021
10061,50.31306,11.8775,0.5585553885832233,23.726656497514924
10062,47.72417,10.33639,0.3508070154244851,46.256794528527216
10063,52.11667,23.68306,0.6597384980077453,12.527438250952905
10064,53.76833000000001,20.42139,0.4597373300394296,17.9682816034016
10065,51.18167,8.49,0.35116216582400095,21.168222914224813
10066,51.55305,23.52917,0.7560554831952224,21.792774129245085
10067,49.46639,22.34167,0.23088751457208978,45.04204585829285
10068,60.56694,9.133333,0.5587008837733971,41.73983793343659
10070,57.74667,22.58944,0.45007735035930774,16.70820040102353
10071,57.43917,27.03528,0.9611781362116469,11.338280591812849
10073,55.93417,26.65917,0.8736679140470782,5.590499624347795
10074,62.56694,11.38333,0.5152342760740517,14.064410736761477
10075,59.66306,9.65,0.805850210623733,13.757287260952372
10078,59.64833,6.3630559999999985,0.17945568988689764,64.54197454015207
10079,60.20639,11.08028,0.5898492730225622,17.40430023173196
10080,62.23333,7.416666999999999,0.3452339747901857,41.61033520245176
10081,63.5,10.89,0.26563991629721295,74.09135366695183
10083,64.16,12.47,0.6077310573516552,17.77743747381843
10085,69.05889,18.54028,0.3328808222228641,37.16051778216632
10086,68.75528,23.53833,0.615784865424621,18.371222394376982
10089,49.3,19.95,0.6659653546174736,22.70372722020835
10093,65.54305,22.11917,0.5923945844454381,13.71373471123066
10094,59.07,18.12,0.609967781002654,16.42502069584972
10095,57.76,12.95,0.39677597024024025,25.379882780250114
10096,59.24,15.29,0.7026105768721589,12.264385738985283
10097,63.14,16.989720000000002,0.7246145337413653,10.173200857041614
10106,44.81667,14.98306,0.4832124399984703,20.307297257454557
10107,46.37833,13.84889,0.7839259678585753,42.11285953428627
10108,51.8,10.62,0.3835065543358315,22.375793668423505
10109,54.07,21.37,0.4644116728519644,15.079598195109293
10110,53.10417,20.36083,0.6166818232901732,18.15945981209709
10114,62.11417,9.286944,0.41667923528420203,20.141226249542694
10115,59.66306,9.648056,0.8064738506080357,13.721044064095862
10116,59.62444,9.637778,0.8057518715238023,13.971300174750876
10117,60.56667,9.1,0.5954124879555178,38.160403272552855
10118,62.57694,11.35167,0.549698191748552,13.885287762595937
10121,59.14778,11.55944,0.5650452593085189,29.46918977991858
10122,59.30778000000001,11.13139,0.30657125986229483,43.59028980382016
10123,59.63556,11.04778,0.715832067220171,18.682222151380735
10125,59.48083000000001,11.65167,0.6074780671389288,17.690988261140795
10127,59.28556,11.11444,0.3834526613706283,43.69515661262249
10128,59.30056,11.66056,0.4511385995435352,30.92272393562883
10129,59.43389000000001,10.66667,0.43561792472696936,38.43953548556673
10130,59.442780000000006,10.68417,0.43692218347287015,38.78689217168823
10131,59.85583000000001,10.43667,0.6602226611093465,21.25962688818091
10133,60.05083000000001,10.68639,0.7554432146608362,28.45187567859469
10135,59.96889,10.79306,0.7029817159824662,26.358616737335957
10136,59.87278000000001,10.7925,0.5522395521736567,22.759507055714337
10138,61.89028,10.14167,0.39272899032774167,17.90407028738578
10139,62.43278000000001,10.41694,0.32336259976876314,23.105008031421445
10140,61.88694,12.04806,0.4880064039340615,19.82354878798321
10143,62.59667,10.27139,0.38612953596979727,19.217344013488677
10145,61.13556,12.50528,0.6559096498330412,12.605346896921242
10146,61.24306,8.855556,0.4576707156978229,26.551306070735368
10147,60.95278,10.59694,0.6098247250013892,20.12923040829057
10149,61.72055,8.244167,0.32350140650417036,29.061746162527363
10151,60.29417,10.58028,0.7622956169729684,15.050865911751394
10153,61.92139,9.013056,0.4096703704798422,17.125200521486946
10154,60.83528,9.493056,0.6719465881073078,18.90840726796814
10155,61.90167,8.171944,0.3434105978309615,65.54633246144878
10156,61.87778,8.471667,0.16109547577651462,201.27729062744058
10158,61.12583000000001,8.581667,0.23995567256360806,45.98568046783243
10162,60.53167,8.148056,0.7419015301806204,15.63360590274757
10163,60.13778000000001,9.596667,0.7474651250004012,14.062130563119876
10164,60.38278,9.606667,0.6612591589744985,22.64660295829229
10167,60.63833,8.565833,0.6625653409144951,17.968924707558
10168,60.23806,9.925833,0.7936145220933892,12.279431338597686
10169,60.463330000000006,8.7525,0.5235629007594103,23.763079550261125
10170,59.19556,9.968056,0.5041907877663426,28.330969172625004
10173,59.32389000000001,8.151944,0.6943114975660662,13.667228149124703
10177,59.14417,9.266944,0.7486314428398086,13.19412172153378
