product,basin,obs_trend_pct,recon_trend_pct
ERA5-Land,2101.0,0.3698512576305426,0.22536225653098235
ERA5-Land,2102.0,-0.44598171656121083,-0.34988396547590195
ERA5-Land,2103.0,0.33292092082286473,0.2217424968555921
ERA5-Land,2104.0,-0.18688950084430306,-0.19168503109279117
ERA5-Land,2105.0,0.2727170158090154,0.2056018062864507
ERA5-Land,2106.0,-0.1877831014781499,-0.18086676333279333
ERA5-Land,2107.0,-0.13433015312716914,-0.10965650839169996
ERA5-Land,2108.0,-0.37893629568246207,-0.4330669976017568
ERA5-Land,2109.0,-0.3806300138444955,-0.42532874972614076
ERA5-Land,2110.0,0.05057374830195363,-0.13115542408435646
ERA5-Land,2111.0,0.4494019583168508,0.3447795721192049
ERA5-Land,2112.0,-0.37535937882388787,-0.23960823250179386
ERA5-Land,2113.0,-0.24796963535763694,-0.19274546809626492
ERA5-Land,2114.0,-0.24704021127667553,-0.2887491112415714
ERA5-Land,2115.0,-0.3209619964810067,-0.3225670917743616
ERA5-Land,2116.0,-0.0016740978759711466,-0.14567228436849924
ERA5-Land,2117.0,-0.2794922962091924,-0.2790505081465521
ERA5-Land,2302.0,-0.30642245600569773,-0.273179653563077
ERA5-Land,2306.0,0.0035612402624712524,-0.013278956553127186
ERA5-Land,2309.0,-0.0790249321766252,-0.20446231878562285
ERA5-Land,2310.0,-1.4602973468611005,-1.0443330399968742
ERA5-Land,2319.0,-0.46010229556301363,-0.375127625046631
ERA5-Land,2320.0,-1.1859310561522287,-1.1134136882587682
ERA5-Land,2401.0,-0.8609047183312017,-0.5759900230918416
ERA5-Land,2402.0,0.22585533319828807,0.21270478306690416
ERA5-Land,2404.0,-0.24065144981827305,-0.28716433634326854
ERA5-Land,2413.0,0.49080421807737895,0.26169946828338436
ERA5-Land,2415.0,-0.5439835113948585,-0.24041938881967712
ERA5-Land,2417.0,-1.9496815816270474,-1.4185381171463827
ERA5-Land,2418.0,-2.2154927872050334,-1.553259877654849
ERA5-Land,2421.0,-0.8265243321197943,-0.6215676298906787
ERA5-Land,2423.0,-0.380248916000979,-0.37600888229786167
ERA5-Land,2427.0,-1.1788722396375217,-1.1047805784858415
ERA5-Land,2429.0,-1.3571245819502142,-1.6411553041950764
ERA5-Land,2430.0,-0.47824332611848336,-0.37519233686243547
ERA5-Land,2432.0,-1.3149934957933431,-0.7127247833563666
ERA5-Land,2433.0,-0.9234149149225592,-0.8353618755457679
ERA5-Land,2434.0,-0.7213217846371456,-0.5124948926532223
ERA5-Land,2436.0,-1.4491634371696476,-1.7403045189853057
ERA5-Land,2901.0,-1.0335792917540516,-0.853804772586677
ERA5-Land,2902.0,-0.2168746928613086,-0.4156610992758479
ERA5-Land,2903.0,-1.3297136224157635,-1.608338769319301
ERA5-Land,2905.0,-0.6960814713605061,-0.94602883683399
ERA5-Land,2906.0,-1.8029150765458055,-1.0260061231514002
ERA5-Land,2909.0,-0.06795470687095628,-0.11658713837226595
ERA5-Land,2910.0,-0.8065897555525161,-0.9244584460048222
ERA5-Land,2911.0,-1.6760828096112308,-1.4292272134946615
ERA5-Land,2912.0,-2.9583675651279084,-2.5916365533772048
ERA5-Land,2913.0,-0.5084902155557804,-0.48698673946468507
ERA5-Land,2914.0,-0.06505013004966972,-0.1948109246124679
ERA5-Land,2915.0,-2.170826299367529,-2.1106261777353574
ERA5-Land,2916.0,-0.47688521866253497,-0.37025539234771443
ERA5-Land,2917.0,-1.4899799714283337,-1.4109539101137398
ERA5-Land,2918.0,-0.6648798044452328,-0.8182605407572634
ERA5-Land,2919.0,0.03091812229074045,-0.26198518742749777
ERA5-Land,2920.0,-2.504918535890903,-2.4702088130423485
ERA5-Land,4101.0,0.4312569191741134,0.3551817706171334
ERA5-Land,4102.0,-0.0004772243696282325,0.014040829841387764
ERA5-Land,4103.0,-0.6113446145248108,-0.47976424011286484
ERA5-Land,4104.0,0.05230943385215515,0.08473270885329778
ERA5-Land,4105.0,0.16327187805009455,0.1479491763226441
ERA5-Land,4106.0,-0.11499697238419423,-0.1146374162406234
ERA5-Land,4107.0,-0.22623923771822912,-0.18485697291083078
ERA5-Land,4108.0,-0.0486426081906959,-0.01630965066396428
ERA5-Land,4109.0,0.09582620503701868,0.21555376515778363
ERA5-Land,4110.0,0.3232136189860452,0.22295014453969425
ERA5-Land,4111.0,-0.13132871056720297,-0.12128052437212251
ERA5-Land,4112.0,0.3802507160704418,0.3714720294598425
ERA5-Land,4113.0,0.14408392481948643,0.03844654787892758
ERA5-Land,4114.0,0.043812114579576567,0.05567018969846038
ERA5-Land,4115.0,-0.26687377580705923,-0.25009282015603085
ERA5-Land,4116.0,-0.13810639220497184,-0.09283267392460735
ERA5-Land,4117.0,0.20360032015590876,0.028729982882856813
ERA5-Land,4118.0,-0.0887672791655566,-0.012800413479669509
ERA5-Land,4119.0,0.34895137032967566,0.31101519249810317
ERA5-Land,4120.0,0.3490641031081612,0.24817262432575138
ERA5-Land,4121.0,0.1724459867335515,0.40174296156581313
ERA5-Land,4122.0,0.2158722464298418,0.18307604639961977
ERA5-Land,4123.0,-0.0006067952275631994,0.11427041133749652
ERA5-Land,4124.0,0.31979264206464075,0.2478700285849574
ERA5-Land,4125.0,0.4118402932260767,0.37277186739885054
ERA5-Land,4126.0,0.43323152146661337,0.4171580833205034
ERA5-Land,4127.0,0.6524509239505364,0.6605517319885255
ERA5-Land,4128.0,0.0841699319715387,0.28916048405942324
ERA5-Land,4129.0,0.5627865378854165,0.5368461248678997
