lat,lon,ppt_trend_x,obs_trend_pct,ppt_trend_y,cmip_trend_pct,trend_bias_pct
23,-105,-0.36487667191191253,-0.6472845134531817,-0.6348363660350622,-0.17499900117827782,0.47228551227490384
23,113,0.549324568151695,0.3136732462484007,-0.012698621885573453,-0.0018357937832025647,-0.3155090400316034
25,-107,-0.8085041042889186,-1.1443906691065637,-0.9123245233325353,-0.23860101374718287,0.9057896553593798
25,-105,-0.5242326602553969,-0.7628484950760671,-0.4530402175318047,-0.16164610651298578,0.6012023885630814
25,99,-1.5018024541848334,-0.9495180201282206,-0.4394833548175469,-0.18088580479549696,0.7686322153327251
25,101,-0.41969952200920935,-0.35988238444748966,-0.2893894167942298,-0.14620790037569992,0.21367448407179016
25,103,-0.23878678818581292,-0.12281091699352757,-0.3637513281514101,-0.18758275463610757,-0.06477183764258002
25,105,-0.16532872860790948,-0.035964856033320045,-0.45562592065728613,-0.20926678661924544,-0.17330193058592536
25,107,0.4530157435303928,0.2858040064241951,-0.40325611959759516,-0.16426722771185173,-0.4500712341360468
25,109,1.06055023756972,0.37347959405109865,-0.36231384499671043,-0.12226949432601317,-0.49574908837711185
25,111,1.268678285645118,0.33718398063492094,-0.4015636738554044,-0.11809171004328142,-0.45527569067820245
25,113,1.5313436524864719,0.3565764488192783,-0.3070953513374399,-0.08403714667448609,-0.4406135954937647
25,117,0.47167544058347505,0.200854929565192,-0.17032811329753958,-0.0404917039808234,-0.24134663354601538
27,-107,-1.2518230899389584,-0.9639303387801078,-0.6185381062962245,-0.2116613844502087,0.7522689543298993
27,-105,-0.24371979262128662,-0.5068079113295207,-0.291800951061456,-0.1515903202033449,0.3552175911261756
27,83,-0.1249708471223071,-0.16575482158128824,-0.2608584390713763,-0.25363217792153875,-0.08787735634025048
27,85,-0.1669049614571972,-0.21377277112171492,-0.283323277885868,-0.2413081772838113,-0.02753540616209642
27,87,-0.04109086585195417,-0.08740716966085935,-0.29061264538507875,-0.18385424725737773,-0.09644707759651829
27,89,0.37338828012429304,0.37581819692925217,-0.2889687282653503,-0.17261332509617153,-0.5484315220254237
27,91,-0.2932797953632301,-0.28526019075019704,-0.22297367039401675,-0.11460827166089667,0.17065191908930014
27,93,-0.6129263838866253,-0.2860779229973306,0.0006434518933090193,-0.011437346127102626,0.27464057687022814
27,95,-1.0857168840698301,-0.43177622755510575,-0.10716464305633991,-0.030437779839415036,0.40133844771569077
27,97,-2.4256526108060705,-0.8925530383526198,-0.4365924748239945,-0.12925580362527142,0.7632972347273478
27,99,-2.2558519383341222,-0.8855514786090326,-0.662162377449868,-0.18476388461992185,0.7007875939891105
27,101,-0.4526306886959864,-0.5241484206546928,-0.31987463387453,-0.1475873702452801,0.3765610504094125
27,103,-0.29545882035030224,-0.2283024155161141,-0.33323997968939184,-0.18159496959779856,0.04670744591831551
27,105,-0.11215253682558927,0.028295059574889758,-0.4855956226775538,-0.20933584601205468,-0.23763090558694439
27,107,0.46704724605430226,0.37263459240421404,-0.4703958623244162,-0.1837050651124677,-0.5563396575166822
27,109,0.44017224989888326,0.23079607149338793,-0.6055672854253517,-0.17731143983423858,-0.4081075113276266
27,111,0.23313810553867106,0.08831426834351133,-0.5618762834639618,-0.13500464947312005,-0.22331891781663143
27,113,0.6413443057849187,0.15377520292642458,-0.4562551063108661,-0.10355927609372666,-0.2573344790201511
27,115,1.648656872722782,0.34674189957904167,-0.32813886881506105,-0.0714467404835926,-0.41818864006263445
27,119,0.7045235625429108,0.2599073949613575,-0.5808150859797411,-0.09853663065070364,-0.35844402561206107
29,-109,-1.3083819171094433,-0.8679617227058939,-0.4970320704855526,-0.181316584215482,0.6866451384904126
29,-107,-0.7030993339377555,-0.9347585359748198,-0.30542551347573105,-0.13617542146621095,0.7985831145086087
29,-105,-0.2948006718192686,-0.574762279008602,-0.1946115467032412,-0.12207449661091195,0.45268778239768975
29,-103,-0.13217132112022917,-0.19618642668970054,-0.22141620108530302,-0.11754245558401698,0.0786439711056836
29,-9,-0.4597977456104919,-0.918327268073258,-0.09759069219693646,-0.26185748226264066,0.6564697858106174
29,35,-0.15285127063513188,-1.015770805975856,0.027452773600016092,0.07261646232334282,1.0883872682991975
29,53,0.5740057472187564,0.39288528315573884,0.11947314384476486,0.07043593860934652,-0.32244934454639224
29,55,0.4216682928651975,0.35568657439921064,0.17479332767363173,0.09137195392186986,-0.26431462047734083
29,57,0.058263309898476986,0.17098875274860897,0.12822519790207962,0.08854102943823744,-0.08244772331037142
29,59,-0.17358035243880665,-0.17647056589395738,0.13433448049861219,0.06498582858942215,0.24145639448337952
29,67,-0.5469250089316267,-0.5763164051136489,-0.059690597250162916,-0.13829250793576894,0.4380238971778799
29,69,0.007035022439030913,-0.05045137153194514,-0.01987298911753016,-0.11190348459971193,-0.06145211306776678
29,79,-0.4772634076959738,-0.386493374789992,-0.2944674906233157,-0.24499755103423365,0.14149582375575842
29,81,-0.7471422591782713,-0.4114657373041798,-0.6166976551174315,-0.27685212179211427,0.13461361551206552
29,83,-0.37612387052560414,-0.15983363086917435,-0.7325151529051689,-0.25920884712079717,-0.09937521625162292
29,85,-0.4825974151032151,-0.1310676228915742,-0.46551273263935894,-0.22044600973565776,-0.0893783868440836
29,87,0.049422119735080254,0.2213293769291893,-0.2531677512071217,-0.15199029573922931,-0.37331967266841853
29,89,0.17975047316991774,0.9368418528432721,-0.1114108514811378,-0.0891551797988533,-1.025997032642126
29,91,0.1715682547955399,0.7401106881581341,-0.001169960785167821,-0.009646206311443807,-0.7497568944695773
