,MRBID,RIVER_BASI,mod_u_frac,iv_u_frac,swe_u_frac,tp_u_frac,source_max,source_col
255,4116,GEORGE,0.34373303935193217,0.1885110903495754,0.3064370161825617,0.16131885411593072,mod_u_frac,#4daf4a
256,4413,KLAMATH,0.4583799358454494,0.33323377710394847,0.1484301567402283,0.05995613031037392,mod_u_frac,#4daf4a
257,4103,ARNAUD,0.11943428035554692,0.09778708399044826,0.609315057118992,0.17346357853501285,swe_u_frac,#984ea3
259,6213,GLOMAA,0.25477807953489673,0.2733822097697715,0.35832953592726513,0.11351017476806664,swe_u_frac,#984ea3
260,4106,"BALEINE, GRANDE RIVIERE DE LA",0.16657785815423684,0.1314722173420509,0.6193516841348954,0.08259824036881695,swe_u_frac,#984ea3
262,4115,FEUILLES,0.11526689366880574,0.09363955850059257,0.7288561491050034,0.06223739872559819,swe_u_frac,#984ea3
265,6102,KEM,0.4966663735165438,0.20348815334167003,0.23610808470033937,0.06373738844144673,mod_u_frac,#4daf4a
273,4217,MANICOUAGAN,0.19363531326241137,0.1515915392519666,0.5429771326536086,0.11179601483201343,swe_u_frac,#984ea3
274,2418,LUAN HE,0.41336166197796126,0.23922034145774004,0.1625266087392734,0.18489138782502548,mod_u_frac,#4daf4a
275,4112,EASTMAIN,0.23037612287912554,0.192910758590502,0.31848099698278237,0.2582321215475902,swe_u_frac,#984ea3
285,2112,POPIGAY,0.3066623675874564,0.2532245520918796,0.35071930218599956,0.0893937781346643,swe_u_frac,#984ea3
287,4104,ATTAWAPISKAT,0.40029472590392484,0.22892300322002565,0.27746416043170224,0.0933181104443473,mod_u_frac,#4daf4a
288,4130,SEAL,0.21600592620788206,0.2212584817141035,0.34532240718711193,0.21741318489090244,swe_u_frac,#984ea3
289,4430,SUSITNA,0.47577358198485226,0.23313117453766302,0.1925911818732043,0.09850406160428063,mod_u_frac,#4daf4a
290,4428,STIKINE,0.3047157543155449,0.31466446823577326,0.27262842807554466,0.10799134937313717,iv_u_frac,#e41a1c
294,6214,GOTA,0.3521626932961545,0.3624143118137997,0.17664212521172104,0.1087808696783249,iv_u_frac,#e41a1c
295,6255,"TORNEALVEN (also TORNIONJOKI, also TORNIONVAYLA)",0.3994668622709508,0.23524311430655864,0.2746006319500664,0.0906893914724241,mod_u_frac,#4daf4a
296,4427,SKEENA,0.28777494213932964,0.40047238143068153,0.21158063027289925,0.10017204615708972,iv_u_frac,#e41a1c
297,2911,LAKE URMIA,0.33990220498493,0.39436260480555546,0.16141742436511736,0.10431776584439718,iv_u_frac,#e41a1c
298,4111,COPPERMINE,0.3462426828108724,0.2045916805705014,0.23526407459653614,0.2139015620220901,mod_u_frac,#4daf4a
300,6223,KUBAN,0.2926663225472616,0.26566818369205925,0.2727893136251739,0.16887618013550534,mod_u_frac,#4daf4a
301,6229,MARITSA RIVER,0.3783595158177567,0.25956968114914925,0.2887629529366248,0.07330785009646938,mod_u_frac,#4daf4a
305,2413,KAMCHATKA,0.4422763432169916,0.24755240326487077,0.16787189200865013,0.14229936150948735,mod_u_frac,#4daf4a
307,6220,KEMIJOKI,0.5056671257918356,0.2208994813372612,0.16866359558859512,0.10476979728230815,mod_u_frac,#4daf4a
311,2107,NADYM,0.2744412242290851,0.22791248859396093,0.23485249476976217,0.26279379240719175,mod_u_frac,#4daf4a
314,4236,SAINT JOHN (also SAINT-JEAN),0.30700122189803114,0.2623960607651302,0.3419371576814024,0.0886655596554362,swe_u_frac,#984ea3
319,6212,GARONNE (also RIO GARONA),0.3854500415359652,0.3152296107478713,0.17671964772187876,0.12260069999428473,mod_u_frac,#4daf4a
321,6232,NARVA,0.349292711078102,0.37919985083024516,0.15204244835425926,0.11946498973739354,iv_u_frac,#e41a1c
325,4110,COLVILLE,0.2545684927539136,0.25430070409361755,0.35270629372177115,0.13842450943069765,swe_u_frac,#984ea3
329,2432,YALU RIVER,0.47193609529695135,0.28282916558634136,0.13969381441385806,0.10554092470284918,mod_u_frac,#4daf4a
330,6244,SAKARYA,0.504594777058791,0.3185540663321133,0.0858834422955318,0.09096771431356392,mod_u_frac,#4daf4a
331,2901,ALAKOL,0.42126163421590274,0.28225408080689307,0.1493797225066649,0.14710456247053927,mod_u_frac,#4daf4a
335,6106,ONEGA,0.4363190147130645,0.20604723346000312,0.23647180350569616,0.12116194832123624,mod_u_frac,#4daf4a
337,2101,ALAZEYA,0.3573588871049095,0.22623339393858302,0.29627939456787955,0.12012832438862792,mod_u_frac,#4daf4a
340,4134,WINISK,0.3063200819861716,0.26973141625200836,0.26567684251742957,0.15827165924439054,mod_u_frac,#4daf4a
341,4408,COPPER,0.42952259647619856,0.26198127147673717,0.21193090265875078,0.09656522938831351,mod_u_frac,#4daf4a
342,4127,NOTTAWAY,0.3071474969564638,0.1987184283386217,0.3945982180323802,0.09953585667253421,swe_u_frac,#984ea3
343,2913,TALAS,0.38966389037832694,0.28077365673324833,0.1698783893512747,0.15968406353715014,mod_u_frac,#4daf4a
