lat,lon,snw_trend_pct
23.0,-105.0,-0.03765232679511172
23.0,113.0,-0.9743911357689852
25.0,-107.0,0.8162415793835498
25.0,-105.0,0.17860308406517034
25.0,99.0,-0.011675878883625989
25.0,101.0,0.03240609471652835
25.0,103.0,-0.10314342848522928
25.0,105.0,-0.1801786487561864
25.0,107.0,-0.19837592056493
25.0,109.0,-0.1292525797453185
25.0,111.0,-0.17140889191322561
25.0,113.0,-0.2278070478879087
25.0,117.0,-0.10470953758682608
27.0,-107.0,-1.9258690132976095
27.0,-105.0,0.06710599386569255
27.0,83.0,-0.0661735309609458
27.0,85.0,-0.08956907132089514
27.0,87.0,-0.2098571211552671
27.0,89.0,-0.334934889833289
27.0,91.0,-0.6041274067608812
27.0,93.0,-0.709090101480997
27.0,95.0,-0.8954739636498379
27.0,97.0,-0.7121867499896783
27.0,99.0,-0.8975371176783233
27.0,101.0,-0.6898291734139349
27.0,103.0,-0.5552327628122055
27.0,105.0,-0.3930758257040212
27.0,107.0,-0.22417854704842258
27.0,109.0,-0.16950495312078123
27.0,111.0,0.17207779061364742
27.0,113.0,-0.34397522935630637
27.0,115.0,-0.26034389119768947
27.0,119.0,-0.20618259130633237
29.0,-109.0,-6.032300731313443
29.0,-107.0,-66.32102661731406
29.0,-105.0,0.24635647033215216
29.0,-103.0,0.4481745562873712
29.0,-9.0,-0.11858618815006121
29.0,35.0,-0.022999524958700106
29.0,53.0,-0.13897877733379232
29.0,55.0,-0.20019700170894789
29.0,57.0,0.14209095822755388
29.0,59.0,-0.2586425020538268
29.0,67.0,-0.21418709793953344
29.0,69.0,0.18037873442486443
29.0,79.0,-0.5279913473162833
29.0,81.0,-0.7043647493325413
29.0,83.0,-0.3603445483741469
29.0,85.0,-0.16812563916953838
29.0,87.0,-0.0858997031572469
29.0,89.0,-0.047139279074549595
29.0,91.0,-0.11195225204220244
29.0,93.0,-0.9007446576235639
29.0,95.0,-1.0905066006782795
29.0,97.0,-0.8241499185758745
29.0,99.0,-0.6772543275560485
29.0,101.0,-0.8061508251285973
29.0,103.0,-1.0070845459371758
29.0,105.0,-0.4143440450967359
29.0,107.0,-0.2663644483028796
29.0,109.0,-0.362888549638206
29.0,111.0,-0.3615413924416159
29.0,115.0,0.0509341815474805
29.0,117.0,-0.37954653776657066
29.0,119.0,-0.127401279065665
31.0,-111.0,-0.008033094060180681
31.0,-109.0,0.12390616403584959
31.0,-107.0,0.4073037120869991
31.0,-105.0,-0.07320197928746326
31.0,-89.0,-0.0986784039532125
31.0,-87.0,-0.02696810298482037
31.0,-85.0,-0.0032572421769468483
31.0,-7.0,1.1047738677295005
31.0,-5.0,-0.2915891108692084
31.0,49.0,-0.023469480116375105
31.0,51.0,-0.9355523132182628
31.0,53.0,-0.7342746616215294
31.0,55.0,-0.641794246804285
31.0,57.0,-0.2672173889208718
31.0,59.0,-0.179862431840806
31.0,61.0,-0.057033287919356614
31.0,65.0,-0.2104495990141053
31.0,67.0,-0.14487323534275331
31.0,69.0,-0.1516968696668927
31.0,71.0,0.19642861969404274
31.0,77.0,-0.21979959797874715
31.0,79.0,-0.4951985383339075
31.0,81.0,-0.55762424896565
31.0,83.0,-0.3328434600423769
31.0,85.0,-0.5203831791951697
31.0,87.0,-0.7681776172361782
31.0,89.0,-0.8929724087233745
31.0,91.0,-0.4979418732003691
31.0,93.0,-1.0088929126981443
31.0,95.0,-0.899486630851976
31.0,97.0,-0.6497053286075172
31.0,99.0,-0.607272381491358
31.0,101.0,-0.9162467581511596
31.0,103.0,-0.971346223654134
31.0,105.0,-0.26180341249818856
31.0,107.0,-0.2501460070174657
31.0,109.0,-0.4335463171393967
31.0,111.0,-0.6449027047401293
31.0,115.0,-0.22026125877604985
31.0,117.0,-0.10460354375142034
31.0,119.0,-0.12641553259754015
33.0,-115.0,-0.11476150591376744
33.0,-113.0,-0.4101376340550309
33.0,-111.0,-0.2195441151793139
33.0,-109.0,-0.14053124881851384
33.0,-107.0,0.0340821182846637
33.0,-105.0,-0.09897575722232634
33.0,-103.0,-0.14304508244934502
33.0,-101.0,-0.16899589337767093
33.0,-5.0,-0.5838534812513013
33.0,-3.0,-0.22545288451935885
33.0,37.0,-0.22204994163644418
33.0,45.0,-0.302352850241467
33.0,47.0,-0.7331027653600068
33.0,49.0,-0.8901515567928266
33.0,51.0,-0.7291634580464262
33.0,53.0,0.47556930735054787
33.0,55.0,-0.15150687261308587
33.0,57.0,0.4458797088340008
33.0,59.0,1.97650828806472
33.0,61.0,-9.139259683202365
33.0,63.0,-0.39477413086728325
33.0,65.0,-0.23363701827300049
33.0,67.0,-0.5551895875270139
33.0,69.0,-0.43923471658592633
33.0,71.0,-0.2795147926077709
33.0,73.0,-0.12211660819123134
33.0,75.0,-0.18884348395825096
33.0,77.0,-0.458233580724054
33.0,79.0,-0.42398671071305377
33.0,81.0,-0.41015870502876217
33.0,83.0,-0.47826193471956696
33.0,85.0,-0.3671738707486242
