product,lat,lon,swe_trend_pct
Ens. Mean,31.0,111.0,-1.523530321559471
Ens. Mean,31.0,115.0,-0.09673708689232974
Ens. Mean,31.0,117.0,-0.08023687603711421
Ens. Mean,31.0,119.0,-0.10894480272603442
Ens. Mean,33.0,-115.0,0.03938470296895281
Ens. Mean,33.0,-113.0,-0.6823379884438774
Ens. Mean,33.0,-111.0,-1.154008038417734
Ens. Mean,33.0,-109.0,-2.928734079934849
Ens. Mean,33.0,-107.0,-2.4213841825171967
Ens. Mean,33.0,-105.0,-1.0604731094148039
Ens. Mean,33.0,-103.0,0.10872580561218864
Ens. Mean,33.0,-101.0,0.056668348013181345
Ens. Mean,33.0,-5.0,0.552906277662003
Ens. Mean,33.0,-3.0,0.13868468779014634
Ens. Mean,33.0,37.0,-0.3505633954468076
Ens. Mean,33.0,45.0,0.7581773915705423
Ens. Mean,33.0,47.0,-0.7108938644361003
Ens. Mean,33.0,49.0,-2.1704494131253975
Ens. Mean,33.0,51.0,-1.4276309976663395
Ens. Mean,33.0,53.0,0.11832420364531138
Ens. Mean,33.0,55.0,0.5578985651730956
Ens. Mean,33.0,57.0,-0.05127173538524686
Ens. Mean,33.0,59.0,-1.1055130060246454
Ens. Mean,33.0,61.0,-0.6524543531602364
Ens. Mean,33.0,63.0,-1.6669103574147421
Ens. Mean,33.0,65.0,-1.5218032443078104
Ens. Mean,33.0,67.0,-0.5249495508600308
Ens. Mean,33.0,69.0,-0.37581934582004417
Ens. Mean,33.0,71.0,0.37642484761301354
Ens. Mean,33.0,73.0,-0.7986633684028137
Ens. Mean,33.0,75.0,-0.9090160035075637
Ens. Mean,33.0,77.0,-0.1868634337287224
Ens. Mean,33.0,79.0,-0.3096143392938753
Ens. Mean,33.0,81.0,-0.6443900913885708
Ens. Mean,33.0,83.0,0.07342044274417883
Ens. Mean,33.0,85.0,0.7477820752829316
Ens. Mean,33.0,87.0,0.38872697985780713
Ens. Mean,33.0,89.0,0.7591994185882326
Ens. Mean,33.0,91.0,0.28379177829719143
Ens. Mean,33.0,93.0,-0.23178625973041314
Ens. Mean,33.0,95.0,0.01711326233645457
Ens. Mean,33.0,97.0,0.0021922133964955735
Ens. Mean,33.0,99.0,0.32373477461882455
Ens. Mean,33.0,101.0,0.13040815626081353
Ens. Mean,33.0,103.0,0.11117761486069674
Ens. Mean,33.0,105.0,-0.5057837005218857
Ens. Mean,33.0,107.0,-1.2241756310726235
Ens. Mean,33.0,109.0,-1.587594668735506
Ens. Mean,33.0,111.0,-1.2230129544919426
Ens. Mean,33.0,113.0,-0.8728826437303832
Ens. Mean,33.0,115.0,-0.16983041002236154
Ens. Mean,33.0,117.0,0.07004477352535327
Ens. Mean,33.0,119.0,-0.40002992752673916
Ens. Mean,35.0,-119.0,-1.1966934433807321
Ens. Mean,35.0,-117.0,-0.9449197263359637
Ens. Mean,35.0,-115.0,-0.32048340257082186
Ens. Mean,35.0,-113.0,-1.7491625792032193
Ens. Mean,35.0,-111.0,-1.8480412724916753
Ens. Mean,35.0,-109.0,-2.580573801700388
Ens. Mean,35.0,-107.0,-2.3368783728820004
Ens. Mean,35.0,-105.0,-1.4283790760527624
Ens. Mean,35.0,-103.0,-0.10343277210458618
Ens. Mean,35.0,-101.0,-0.2036819460371117
Ens. Mean,35.0,-99.0,0.003196959890774013
Ens. Mean,35.0,-97.0,0.19207277735754566
Ens. Mean,35.0,-95.0,0.16911988123999788
Ens. Mean,35.0,-93.0,-3.185074277535504e-05
Ens. Mean,35.0,-91.0,0.4875245832735174
Ens. Mean,35.0,-89.0,0.32075530554472903
Ens. Mean,35.0,-87.0,0.5942686751448304
Ens. Mean,35.0,-85.0,-0.2710720611826162
Ens. Mean,35.0,-83.0,-0.7235317054048713
Ens. Mean,35.0,-81.0,-0.1730954948431278
Ens. Mean,35.0,-79.0,0.49314516514992984
Ens. Mean,35.0,1.0,0.14963661046775603
Ens. Mean,35.0,3.0,0.8507683860948838
