model,lat,lon,fr_orig,fr_recon
ACCESS-CM2_r1i1p1f1,25.0,103.0,-0.012981179626618605,-10.672097045542458
ACCESS-CM2_r1i1p1f1,25.0,105.0,-0.5658111488731746,-6.54664203259389
ACCESS-CM2_r1i1p1f1,27.0,87.0,-10.84323591735957,-10.602778346424838
ACCESS-CM2_r1i1p1f1,27.0,89.0,-13.232203257187315,-14.173105206411243
ACCESS-CM2_r1i1p1f1,27.0,91.0,-5.531607198894061,-4.042180896274007
ACCESS-CM2_r1i1p1f1,27.0,93.0,-2.2065648941780984,-6.804816686583757
ACCESS-CM2_r1i1p1f1,27.0,97.0,-12.888198045002063,-7.29550452407727
ACCESS-CM2_r1i1p1f1,27.0,99.0,-17.15558504581136,-19.31969129979012
ACCESS-CM2_r1i1p1f1,27.0,101.0,-9.782253000595198,-11.700896068808248
ACCESS-CM2_r1i1p1f1,27.0,103.0,-3.381655870552574,-9.875957654017087
ACCESS-CM2_r1i1p1f1,27.0,105.0,-4.8080686939084885,-4.438091708096635
ACCESS-CM2_r1i1p1f1,27.0,107.0,-2.477073822844777,0.758235242738801
ACCESS-CM2_r1i1p1f1,27.0,109.0,-3.8980385293232755,-2.2957406211786258
ACCESS-CM2_r1i1p1f1,27.0,111.0,-1.7210243478033904,-1.8761445063208542
ACCESS-CM2_r1i1p1f1,27.0,113.0,-0.11371344953739823,-0.20820241735865563
ACCESS-CM2_r1i1p1f1,27.0,119.0,-0.00013817816601167094,-2.8006852901500445
ACCESS-CM2_r1i1p1f1,29.0,-107.0,0.0,0.357705713845715
ACCESS-CM2_r1i1p1f1,29.0,55.0,0.0,-0.7475471848079731
ACCESS-CM2_r1i1p1f1,29.0,81.0,-3.460093991556658,-4.289718025573988
ACCESS-CM2_r1i1p1f1,29.0,83.0,-2.9592245054650936,-18.235381096923135
ACCESS-CM2_r1i1p1f1,29.0,85.0,-7.1624643389625104,-15.53470531313865
ACCESS-CM2_r1i1p1f1,29.0,87.0,-10.644299682885288,-4.44232378898707
ACCESS-CM2_r1i1p1f1,29.0,89.0,-4.721484211523621,-16.903913596897905
ACCESS-CM2_r1i1p1f1,29.0,91.0,3.7089619281385944,-7.173278205533112
ACCESS-CM2_r1i1p1f1,29.0,93.0,-2.0642118623324226,-14.68816007162797
ACCESS-CM2_r1i1p1f1,29.0,95.0,-27.56279113380426,-35.14539674166869
ACCESS-CM2_r1i1p1f1,29.0,97.0,-13.338073595902975,-26.081457286506367
ACCESS-CM2_r1i1p1f1,29.0,99.0,-7.557360559950062,-21.705974532833118
ACCESS-CM2_r1i1p1f1,29.0,101.0,-8.876588985126364,-14.439812035764467
ACCESS-CM2_r1i1p1f1,29.0,103.0,-11.838540887186312,-12.255243432128768
ACCESS-CM2_r1i1p1f1,29.0,105.0,-19.94735776146822,-15.073777673082944
ACCESS-CM2_r1i1p1f1,29.0,107.0,-0.003573281043218682,-10.126128441972785
ACCESS-CM2_r1i1p1f1,29.0,109.0,-7.150095804912336,-4.606147670564386
ACCESS-CM2_r1i1p1f1,29.0,111.0,-4.746406998168429,-4.177366742689855
ACCESS-CM2_r1i1p1f1,29.0,113.0,-0.8058424061083954,2.748119468006564
ACCESS-CM2_r1i1p1f1,29.0,115.0,-0.0007923024789522514,0.10050759505328433
ACCESS-CM2_r1i1p1f1,29.0,117.0,-0.16887214821915664,-5.664972945885827
ACCESS-CM2_r1i1p1f1,29.0,119.0,-0.3807612122820695,-12.63562677207625
ACCESS-CM2_r1i1p1f1,31.0,-109.0,-0.0002379365718454585,-0.341004496556324
ACCESS-CM2_r1i1p1f1,31.0,-107.0,0.0,0.0071456919388897325
